 217 , MANA              , 12      , 6      , $0.0412    , $0.0402    , -2%      , 754.87 k  

 218 , MATIC             , 3       , 1      , $0.0159    , $0.0158    , -1%      , 57.38 m   

 219 , MCO               , 12      , 5      , $3.98      , $3.94      , -1%      , 760.86 k  

 220 , MDA               , 2       , 1      , $0.6668    , $0.6623    , -1%      , 147.96 k  

 221 , MDS               , 1       , 1      , $0.0077    , $0.0076    , -1%      , 26.99 k   

 222 , MEDX              , 3       , 2      , $0.0045    , $0.0052    , 14%      , 228.65 k  

 223 , MEET              , 1       , 1      , $0.0164    , N/A        , N/A      , 66.22 k   

 224 , MEME              , 2       , 2      , $0.0105    , $0.0105    , -1%      , 4.10 k    

 225 , MER               , 1       , 1      , $0.0087    , $0.0086    , -1%      , 9.99 k    

 226 , MET               , 2       , 2      , $0.8369    , $0.7337    , -14%     , 24.79     

 227 , META              , 2       , 2      , $0.0121    , N/A        , N/A      , 156.12 k  

 228 , MFT               , 6       , 3      , $0.0013    , $0.0013    , -1%      , 964.68 k  

 229 , MITH              , 5       , 2      , $0.0204    , $0.0246    , 17%      , 745.65 k  

 230 , MLN               , 3       , 2      , $5.86      , $5.80      , -1%      , 7.88 k    

 231 , MOBI              , 1       , 1      , $0.0086    , $0.0092    , 6%       , 77.90     

 232 , MOC               , 3       , 2      , $0.0272    , $0.0269    , -1%      , 1.04 m    

 233 , MONA              , 2       , 2      , $1.87      , $1.85      , -1%      , 366.29 k  

 234 , MORE              , 1       , 1      , $0.0566    , N/A        , N/A      , 44.15     

 235 , MRK               , 3       , 1      , $0.0023    , N/A        , N/A      , 3.09 k    

 236 , MT                , 4       , 2      , $0.0026    , $0.0024    , -11%     , 195.12 k  

 237 , MTH               , 2       , 1      , $0.0127    , $0.0125    , -1%      , 187.44 k  

 238 , MTL               , 5       , 3      , $0.3216    , $0.3189    , -1%      , 1.10 m    

 239 , MTN               , 3       , 1      , $0.0078    , $0.0084    , 7%       , 114.55    

 240 , MTX               , 1       , 1      , $0.0356    , $0.0352    , -1%      , 14.00 k   

 241 , MUE               , 2       , 2      , $0.0084    , $0.0083    , -1%      , 2.38 k    

 242 , MUSK              , 1       , 1      , $0.0047    , N/A        , N/A      , 41.88 k   

 243 , NANO              , 7       , 2      , $1.09      , $1.08      , -1%      , 2.49 m    

 244 , NAS               , 3       , 1      , $0.8508    , $0.8468    , 0%       , 186.80 k  

 245 , NAV               , 6       , 4      , $0.1163    , $0.1150    , -1%      , 236.40 k  

 246 , NCASH             , 6       , 4      , $0.0013    , $0.0013    , -1%      , 373.21 k  

 247 , NEBL              , 3       , 1      , $0.6485    , $0.6425    , -1%      , 164.36 k  

 248 , NEO               , 15      , 5      , $10.97     , $10.87     , -1%      , 9.71 m    

 249 , NEW               , 2       , 1      , $0.0029    , N/A        , N/A      , 2.11 m    

 250 , NEXO              , 2       , 1      , $0.0897    , $0.0883    , -2%      , 3.06 m    

 251 , NGC               , 2       , 2      , $0.0219    , $0.0205    , -7%      , 3.11 k    

 252 , NKN               , 3       , 3      , $0.0370    , $0.0374    , 1%       , 70.37 k   

 253 , NLC2              , 1       , 1      , $0.0027    , $0.0027    , -1%      , 47.22 k   

 254 , NLG               , 1       , 1      , $0.0088    , $0.0087    , -1%      , 11.70 k   

 255 , NMR               , 3       , 3      , $5.28      , $5.23      , -1%      , 69.48 k   

 256 , NPXS              , 8       , 4      , $0.0005    , $0.0005    , 1%       , 868.62 k  

 257 , NULS              , 5       , 2      , $0.4777    , $0.4763    , 0%       , 536.29 k  

 258 , NXS               , 5       , 3      , $0.2210    , $0.2188    , -1%      , 110.66 k  

 259 , NXT               , 7       , 3      , $0.0241    , $0.0229    , -5%      , 45.28 k   

 260 , OAX               , 4       , 2      , $0.0874    , $0.0862    , -1%      , 323.94 k  

 261 , OCN               , 6       , 3      , $0.0016    , $0.0016    , 0%       , 143.09 k  

 262 , OK                , 2       , 2      , $0.0531    , $0.0525    , -1%      , 92.64 k   

 263 , OMG               , 19      , 7      , $1.45      , $1.44      , -1%      , 4.55 m    

 264 , OMNI              , 1       , 1      , $2.17      , $2.15      , -1%      , 6.38 k    

 265 , ONE               , 6       , 1      , $0.0122    , $0.0123    , 1%       , 20.15 m   

 266 , ONG               , 8       , 4      , $0.2196    , $0.0059    , -3611%   , 262.81 k  

 267 , ONT               , 11      , 5      , $0.9192    , $0.9088    , -1%      , 4.50 m    

 268 , ORBS              , 3       , 2      , $0.0171    , N/A        , N/A      , 169.02 k  

 269 , OST               , 6       , 3      , $0.0117    , $0.0116    , -1%      , 272.14 k  

 270 , PAI               , 1       , 1      , $0.0288    , N/A        , N/A      , 210.54 k  

 271 , PAL               , 2       , 2      , $0.0016    , $0.0015    , -7%      , 33.86 k   

 272 , PART              , 2       , 2      , $2.68      , $2.65      , -1%      , 207.85 k  

 273 , PASC              , 1       , 1      , $0.1214    , $0.1279    , 5%       , 947.16    

 274 , PAX               , 39      , 3      , $1.01      , $1.00      , -1%      , 40.41 m   

 275 , PAY               , 4       , 2      , $0.1214    , $0.1215    , 0%       , 35.17 k   

 276 , PC                , 1       , 1      , $0.0015    , $0.0015    , -1%      , 822.10 k  

 277 , PHB               , 5       , 1      , $0.0062    , N/A        , N/A      , 546.99 k  

 278 , PHX               , 1       , 1      , $0.0061    , $0.0062    , 1%       , 76.62 k   

 279 , PI                , 2       , 2      , $0.0105    , $0.0104    , -1%      , 1.08 k    

 280 , PINK              , 1       , 1      , $0.0022    , $0.0021    , -1%      , 465.46    

 281 , PIVX              , 6       , 3      , $0.3776    , $0.3742    , -1%      , 425.79 k  

 282 , PLA               , 4       , 2      , $0.0010    , $0.0010    , -10%     , 4.94 k    

 283 , PMA               , 5       , 3      , $0.0005    , $0.0004    , -4%      , 27.74 k   

 284 , PNT               , 2       , 1      , $0.0002    , $0.0002    , -3%      , 66.53 k   

 285 , POA               , 3       , 1      , $0.0159    , $0.0157    , -1%      , 81.18 k   

 286 , POE               , 2       , 1      , $0.0029    , $0.0028    , -1%      , 144.19 k  

 287 , POLY              , 8       , 4      , $0.0449    , $0.0444    , -1%      , 441.78 k  

 288 , PORTAL            , 1       , 1      , $0.0045    , $0.0045    , 0%       , 29.04 k   

 289 , POT               , 1       , 1      , $0.0080    , $0.0079    , -1%      , 700.77    

 290 , POWR              , 10      , 4      , $0.0680    , $0.0672    , -1%      , 273.52 k  

 291 , PPC               , 1       , 1      , $0.4516    , $0.4470    , -1%      , 42.10 k   

 292 , PPT               , 2       , 1      , $0.7169    , $0.7059    , -2%      , 470.51 k  

 293 , PRO               , 2       , 2      , $0.1661    , $0.1663    , 0%       , 1.74 k    

 294 , PROPY             , 1       , 1      , $0.1677    , N/A        , N/A      , 24.99 k   

 295 , PTON              , 1       , 1      , $0.0005    , N/A        , N/A      , 2.02 k    

 296 , PTOY              , 2       , 2      , $0.0077    , $0.0076    , -1%      , 31.05 k   

 297 , PVT               , 1       , 1      , $0.0015    , N/A        , N/A      , 445.87 k  

 298 , QASH              , 67      , 2      , $0.1158    , $0.1141    , -1%      , 129.84 k  

 299 , QKC               , 3       , 2      , $0.0178    , $0.0179    , 0%       , 7.17 m    

 300 , QLC               , 3       , 1      , $0.0151    , $0.0149    , -1%      , 84.95 k   

 301 , QNT               , 2       , 2      , $8.43      , $8.44      , 0%       , 211.27 k  

 302 , QRL               , 2       , 2      , $0.2084    , $0.2074    , 0%       , 5.13 k    

 303 , QSP               , 4       , 2      , $0.0119    , N/A        , N/A      , 229.08 k  

 304 , QTUM              , 20      , 7      , $2.89      , $2.88      , 0%       , 2.33 m    

 305 , QUN               , 1       , 1      , $0.0113    , $0.0112    , -1%      , 55.96 k   

 306 , RADS              , 2       , 2      , $0.6336    , $0.6266    , -1%      , 2.22 k    

 307 , RBTC              , 1       , 1      , $11,892.76 , N/A        , N/A      , 86.62 k   

 308 , RCCC              , 1       , 1      , $0.0630    , N/A        , N/A      , 734.82 k  

 309 , RCN               , 6       , 4      , $0.0163    , $0.0162    , 0%       , 156.40 k  

 310 , RDD               , 2       , 2      , $0.0012    , $0.0012    , -1%      , 379.29 k  

 311 , RDN               , 4       , 2      , $0.2201    , $0.2168    , -2%      , 353.51 k  

 312 , REN               , 2       , 1      , $0.1158    , $0.1147    , -1%      , 6.81 m    

 313 , REP               , 20      , 7      , $10.99     , $10.89     , -1%      , 909.33 k  

 314 , REQ               , 3       , 2      , $0.0140    , $0.0138    , -1%      , 373.85 k  

 315 , RFOX              , 1       , 1      , $0.0102    , N/A        , N/A      , 43.53     

